Node,Duration (s),CPU_Usage_avg(%),CPU_IOWait_avg(%),Memory_Used_avg(GB),Memory_Usage_avg(%),Disk_Write_peak(MB/s),Network_Send_peak(MB/s)
node100,77.0,30.98,0.01,2229877576.21,2229877576.21,90.18,71.24
node101,77.21,7.94,0.01,2235942491.9,2235942491.9,35.01,65.27
node102,77.4,6.32,0.01,1874193066.67,1874193066.67,42.8,60.72
node103,77.67,2.74,0.0,1618415090.87,1618415090.9,42.79,0.49
node104,77.97,7.16,0.01,1558177529.44,1558177529.46,61.14,16.89
node105,78.41,16.24,0.0,1434708598.16,1434708598.18,42.61,17.13
