Node,Duration (s),CPU_Usage_avg(%),CPU_IOWait_avg(%),Memory_Used_avg(GB),Memory_Usage_avg(%),Disk_Write_peak(MB/s),Network_Send_peak(MB/s)
node100,728.04,22.06,0.01,2189630459.79,2189630459.79,538.13,91.18
node101,729.0,7.35,0.02,1743938209.32,1743938209.32,508.75,99.97
node102,729.21,4.32,0.03,1644512051.2,1644512051.2,626.93,379.17
node103,729.48,12.18,0.01,1468746676.25,1468746676.28,634.63,51.2
node104,729.76,0.98,0.0,1444739807.04,1444739807.06,129.02,22.96
node105,730.19,8.7,0.08,1156107379.03,1156107379.05,384.93,54.51
