Node,Duration (s),CPU_Usage_avg(%),CPU_IOWait_avg(%),Memory_Used_avg(GB),Memory_Usage_avg(%),Disk_Write_peak(MB/s),Network_Send_peak(MB/s)
node100,189.0,6.77,0.01,2351590798.82,2351590798.82,101.64,30.4
node101,189.21,12.5,0.01,3902488985.6,3902488985.6,101.86,94.88
node102,189.4,11.29,0.01,3807812510.99,3807812510.99,43.06,97.54
node103,189.66,1.38,0.0,1683862625.01,1683862625.04,96.89,19.6
node104,190.94,13.21,0.0,3322248572.65,3322248572.68,43.69,31.54
node105,191.37,21.86,0.0,3233159586.18,3233159586.2,34.57,29.75
