Node,Duration (s),CPU_Usage_avg(%),CPU_IOWait_avg(%),Memory_Used_avg(GB),Memory_Usage_avg(%),Disk_Write_peak(MB/s),Network_Send_peak(MB/s)
node100,799.0,18.46,0.01,2185281080.32,2185281080.32,604.59,235.82
node101,799.21,13.44,0.02,1816092298.24,1816092298.24,567.22,359.12
node102,799.39,7.72,0.01,1622880583.68,1622880583.68,649.67,99.39
node103,799.69,15.85,0.0,1527521024.0,1527521024.03,489.28,51.33
node104,799.98,8.07,0.02,1549909135.36,1549909135.39,619.01,45.16
node105,799.38,10.97,0.1,1209821268.59,1209821268.61,415.39,45.56
