Node,Duration (s),CPU_Usage_avg(%),CPU_IOWait_avg(%),Memory_Used_avg(GB),Memory_Usage_avg(%),Disk_Write_peak(MB/s),Network_Send_peak(MB/s)
node100,131.25,5.78,0.01,2323567398.79,2323567398.79,97.15,70.17
node101,131.45,9.38,0.01,3335332243.39,3335332243.39,42.73,66.19
node102,131.63,9.28,0.01,2957464917.33,2957464917.33,42.74,69.41
node103,131.89,1.99,0.0,1693480308.37,1693480308.39,24.22,15.84
node104,132.18,10.8,0.01,2872390093.96,2872390093.98,60.96,26.42
node105,132.59,19.59,0.0,2414661416.42,2414661416.45,59.88,24.87
